Scientific Name,Class,Order,Family,Trend,Status,Life Span (years),Length (cm),Weight (kg),Is Social,Is Nocturnal,Diet,Mating Behavior,Incubation Period (days),Baby Carrying,Independent Age (days),Africa,Antarctica,Asia,Europe,Oceania,South America,Central America,North America,Cold,Dry/Desert,Polar/Tundra,Temperate,Tropical
Canis lupus arctos,1,8,canidae,1,0,12.0,50.0,51.0,1,0,1,0,62.0,6.0,180.0,0,0,0,0,0,0,0,0,0,0,1,0,0
Vulpes lagopus,1,8,canidae,1,0,8.5,53.5,5.0,0,0,4,0,52.0,12.5,101.5,0,0,1,1,0,0,0,0,0,0,1,0,0
Tamiasciurus hudsonicus,1,49,sciuridae,1,0,7.5,32.5,0.2395,0,0,2,1,34.0,4.5,52.5,0,0,0,0,0,0,0,0,1,1,1,1,0
Canis lupus,1,8,canidae,1,0,15.0,132.5,38.0,1,1,0,0,61.5,7.5,45.0,1,0,1,1,0,0,0,0,1,1,1,1,0
Mustela erminea,1,8,mustelidae,1,0,6.5,24.75,0.21899999999999997,0,1,1,1,280.0,10.5,63.0,0,0,1,1,1,0,0,0,1,0,1,1,0
Chlamyphorus truncatus,1,13,chlamyphoridae,1,0,7.0,10.25,0.12,0,1,0,1,102.5,1.0,55.5,0,0,0,0,0,0,0,0,0,1,0,1,0
Elephas maximus sumatranus,1,46,elephantidae,1,1,70.0,550.0,3000.0,1,1,2,1,600.0,1.0,1095.0,0,0,1,0,0,0,0,0,0,0,0,0,1
Oryx leucoryx,1,5,bovidae,1,1,20.0,160.0,67.5,1,0,2,1,240.0,1.0,105.0,1,0,1,0,0,0,0,0,0,1,0,1,0
Sus scrofa domesticus,1,5,suidae,1,0,10.5,540.0,200.0,1,0,0,0,114.0,12.0,90.0,1,1,1,1,1,1,1,1,1,1,0,1,1
Lemur catta,1,45,lemuridae,0,1,24.0,52.345801526717565,2.5,1,0,0,1,120.0,1.5,150.0,1,0,0,0,0,0,0,0,0,1,0,0,1
Elephas maximus,1,46,elephantidae,0,1,70.0,550.0,3000.0,1,0,2,1,600.0,1.0,540.0,0,0,1,0,0,0,0,0,0,0,0,0,1
Canis lupus baileyi,1,8,canidae,1,1,12.5,144.5,31.5,1,1,1,0,63.0,5.5,35.0,0,0,0,0,0,0,0,0,0,0,0,1,1
Galeopterus variegatus,1,19,cynocephalidae,0,0,17.0,37.5,0.5,0,1,2,1,60.0,1.5,180.0,0,0,1,0,0,0,0,0,0,0,0,0,1
