Scientific Name,Class,Order,Family,Trend,Status,Life Span (years),Length (cm),Weight (kg),Is Social,Is Nocturnal,Diet,Mating Behavior,Incubation Period (days),Baby Carrying,Independent Age (days),Africa,Antarctica,Asia,Europe,Oceania,South America,Central America,North America,Cold,Dry/Desert,Polar/Tundra,Temperate,Tropical
Canis lupus arctos,mammalia,carnivora,canidae,,0.0,12.0,50.0,51.0,1,0,1.0,0.0,62.0,6.0,180.0,0,0,0,0,0,0,0,0,0,0,1,0,0
Vulpes lagopus,mammalia,carnivora,canidae,1.0,0.0,8.5,53.5,5.0,0,0,4.0,0.0,52.0,12.5,101.5,0,0,1,1,0,0,0,0,0,0,1,0,0
Tamiasciurus hudsonicus,mammalia,rodentia,sciuridae,1.0,0.0,7.5,32.5,0.2395,0,0,2.0,1.0,34.0,4.5,52.5,0,0,0,0,0,0,0,0,1,1,1,1,0
Canis lupus,mammalia,carnivora,canidae,1.0,0.0,15.0,132.5,38.0,1,1,0.0,0.0,61.5,7.5,45.0,1,0,1,1,0,0,0,0,1,1,1,1,0
Mustela erminea,mammalia,carnivora,mustelidae,1.0,0.0,6.5,24.75,0.219,0,1,1.0,1.0,280.0,10.5,63.0,0,0,1,1,1,0,0,0,1,0,1,1,0
Chlamyphorus truncatus,mammalia,cingulata,chlamyphoridae,,,7.0,10.25,0.12,0,1,0.0,1.0,,1.0,,0,0,0,0,0,0,0,0,0,1,0,1,0
Elephas maximus sumatranus,mammalia,proboscidea,elephantidae,,1.0,70.0,,3000.0,1,1,2.0,,600.0,1.0,1095.0,0,0,1,0,0,0,0,0,0,0,0,0,1
Oryx leucoryx,mammalia,artiodactyla,bovidae,1.0,1.0,20.0,160.0,67.5,1,0,2.0,1.0,240.0,1.0,105.0,1,0,1,0,0,0,0,0,0,1,0,1,0
Sus scrofa domesticus,mammalia,artiodactyla,suidae,,,10.5,540.0,200.0,1,0,0.0,0.0,114.0,12.0,90.0,1,1,1,1,1,1,1,1,1,1,0,1,1
Lemur catta,mammalia,primates,lemuridae,0.0,1.0,24.0,,2.5,1,0,0.0,1.0,120.0,1.5,150.0,1,0,0,0,0,0,0,0,0,1,0,0,1
Elephas maximus,mammalia,proboscidea,elephantidae,0.0,1.0,70.0,550.0,3000.0,1,0,2.0,1.0,600.0,1.0,540.0,0,0,1,0,0,0,0,0,0,0,0,0,1
Canis lupus baileyi,mammalia,carnivora,canidae,,,12.5,144.5,31.5,1,1,1.0,0.0,63.0,5.5,35.0,0,0,0,0,0,0,0,0,0,0,0,1,1
Galeopterus variegatus,mammalia,dermoptera,cynocephalidae,0.0,0.0,17.0,37.5,0.5,0,1,2.0,,60.0,1.5,180.0,0,0,1,0,0,0,0,0,0,0,0,0,1
Bos taurus,mammalia,artiodactyla,bovidae,,,18.5,,650.0,1,0,2.0,1.0,270.0,1.0,180.0,1,1,1,1,1,1,1,1,1,0,0,1,0
Loxodonta africana,mammalia,proboscidea,elephantidae,2.0,1.0,65.0,,,1,0,2.0,1.0,2.0,1.0,2190.0,1,0,0,0,0,0,0,0,0,0,0,1,1
Vulpes zerda,mammalia,carnivora,canidae,1.0,0.0,11.0,32.5,0.5,1,1,0.0,0.0,50.0,3.0,65.0,1,0,0,0,0,0,0,0,0,1,0,0,0
