Scientific Name,Class,Order,Family,Trend,Status,Life Span (years),Length (cm),Weight (kg),Is Social,Is Nocturnal,Diet,Mating Behavior,Incubation Period (days),Baby Carrying,Independent Age (days),Africa,Antarctica,Asia,Europe,Oceania,South America,Central America,North America,Cold,Dry/Desert,Polar/Tundra,Temperate,Tropical
Canis lupus arctos,mammalia,carnivora,canidae,,0,12,50,51,1,0,1,0,62,6,180,0,0,0,0,0,0,0,0,0,0,1,0,0
Vulpes lagopus,mammalia,carnivora,canidae,1,0,8.5,53.5,5,0,0,4,0,52,12.5,101.5,0,0,1,1,0,0,0,0,0,0,1,0,0
Tamiasciurus hudsonicus,mammalia,rodentia,sciuridae,1,0,7.5,32.5,0.2395,0,0,2,1,34,4.5,52.5,0,0,0,0,0,0,0,0,1,1,1,1,0
Canis lupus,mammalia,carnivora,canidae,1,0,15,132.5,38,1,1,0,0,61.5,7.5,45,1,0,1,1,0,0,0,0,1,1,1,1,0
Mustela erminea,mammalia,carnivora,mustelidae,1,0,6.5,24.75,0.219,0,1,1,1,280,10.5,63,0,0,1,1,1,0,0,0,1,0,1,1,0
Chlamyphorus truncatus,mammalia,cingulata,chlamyphoridae,,0,7,10.25,0.12,0,1,0,1,,1,,0,0,0,0,0,0,0,0,0,1,0,1,0
Elephas maximus sumatranus,mammalia,proboscidea,elephantidae,,1,70,,3000,1,1,2,,600,1,1095,0,0,1,0,0,0,0,0,0,0,0,0,1
Oryx leucoryx,mammalia,artiodactyla,bovidae,1,1,20,160,67.5,1,0,2,1,240,1,105,1,0,1,0,0,0,0,0,0,1,0,1,0
Sus scrofa domesticus,mammalia,artiodactyla,suidae,,0,10.5,540,200,1,0,0,0,114,12,90,1,1,1,1,1,1,1,1,1,1,0,1,1
Lemur catta,mammalia,primates,lemuridae,0,1,24,,2.5,1,0,0,1,120,1.5,150,1,0,0,0,0,0,0,0,0,1,0,0,1
Elephas maximus,mammalia,proboscidea,elephantidae,0,1,70,550,3000,1,0,2,1,600,1,540,0,0,1,0,0,0,0,0,0,0,0,0,1
Canis lupus baileyi,mammalia,carnivora,canidae,,1,12.5,144.5,31.5,1,1,1,0,63,5.5,35,0,0,0,0,0,0,0,0,0,0,0,1,1
Galeopterus variegatus,mammalia,dermoptera,cynocephalidae,0,0,17,37.5,0.5,0,1,2,,60,1.5,180,0,0,1,0,0,0,0,0,0,0,0,0,1
Bos taurus,mammalia,artiodactyla,bovidae,,0,18.5,,650,1,0,2,1,270,1,180,1,1,1,1,1,1,1,1,1,0,0,1,0
Loxodonta africana,mammalia,proboscidea,elephantidae,2,1,65,,,1,0,2,1,2,1,2190,1,0,0,0,0,0,0,0,0,0,0,1,1
Vulpes zerda,mammalia,carnivora,canidae,1,0,11,32.5,0.5,1,1,0,0,50,3,65,1,0,0,0,0,0,0,0,0,1,0,0,0
Rhinopithecus roxellana,mammalia,primates,cercopithecidae,0,1,26,66.5,22.5,1,0,2,1,210,1,365,0,0,1,0,0,0,0,0,1,0,0,1,0
Urocyon cinereoargenteus,mammalia,carnivora,canidae,1,0,7,94,5,0,1,0,0,,4.5,300,0,0,0,0,0,0,0,0,1,1,0,1,1
Macaca fuscata,mammalia,primates,cercopithecidae,1,0,19,,9.5,1,0,0,1,180,1,730,0,0,1,0,0,0,0,0,1,0,0,1,0
Sus scrofa,mammalia,artiodactyla,suidae,,0,14.5,196.5,127.5,1,1,0,1,114,5,210,1,0,1,1,1,0,0,0,1,1,0,1,1
Cervus elaphus,mammalia,artiodactyla,cervidae,2,0,20,205,180,0,0,2,1,251,1,60,1,0,1,1,1,0,0,0,1,1,0,1,0
Neovison vison,mammalia,carnivora,mustelidae,1,0,10,38,0.2005,0,1,1,1,57.5,4.5,30,0,0,1,1,0,0,0,0,1,1,1,1,0
Acerodon jubatus,mammalia,chiroptera,pteropodidae,0,1,17.5,23.4,1.125,1,1,2,,,1,,0,0,1,0,0,0,0,0,0,0,0,1,1
Elephas maximus borneensis,mammalia,proboscidea,elephantidae,0,1,62.5,,,1,0,2,,615,1,1277.5,1,1,1,1,1,1,1,1,0,0,0,0,1
Hyaena brunnea,mammalia,carnivora,hyaenidae,1,0,12.5,145,41,1,1,1,1,90,2.5,450,1,0,0,0,0,0,0,0,0,1,0,1,0
Ceratotherium simum,mammalia,perissodactyla,rhinocerotidae,2,0,47.5,350,2520,1,0,2,1,480,1,912.5,1,0,0,0,0,0,0,0,0,1,0,1,1
Cervus nippon,mammalia,artiodactyla,cervidae,2,0,18.5,137.5,67.5,1,1,2,1,210,1,365,1,0,1,1,1,0,0,0,1,0,0,1,0
Hemicentetes semispinosus,mammalia,afrosoricida,tenrecidae,,0,2,14,0.2,1,0,3,,59,6.5,21.5,1,0,0,0,0,0,0,0,0,0,0,1,1
Odocoileus virginianus,mammalia,artiodactyla,cervidae,1,0,13,150,96,0,0,2,1,180,1.5,547.5,0,0,0,1,1,0,0,0,0,1,0,1,1
Antilope cervicapra,mammalia,artiodactyla,bovidae,1,0,12.5,125,38.5,1,0,2,1,180,1,365,0,0,1,0,0,0,0,0,0,1,0,1,1
Dolichotis patagonum,mammalia,rodentia,caviidae,0,0,8.5,72,12,1,0,2,0,90,2,76.5,0,0,0,0,0,0,0,0,0,1,0,1,0
Vulpes vulpes,mammalia,carnivora,canidae,1,0,10,67.5,8.5,1,0,0,0,60,5.5,210,1,0,1,1,1,0,0,0,1,0,0,1,0
Setonix brachyurus,mammalia,diprotodontia,macropodidae,0,1,7.5,47,3.5,1,1,2,1,30,1,273,0,0,0,0,1,0,0,0,0,0,0,1,0
Ovis orientalis,mammalia,artiodactyla,bovidae,0,1,10,,90,1,0,2,1,150,1,165,0,0,1,0,0,0,0,0,0,1,0,1,0
Pteropus giganteus,mammalia,chiroptera,pteropodidae,0,0,23,23,1.1,1,1,2,1,145,1.5,150,0,0,1,0,0,0,0,0,0,1,0,1,1
Elaphodus cephalophus,mammalia,artiodactyla,cervidae,0,0,9.5,135,33.5,0,0,2,1,180,1.5,180,0,0,1,0,0,0,0,0,0,0,0,1,0
Neovison macrodon,mammalia,carnivora,mustelidae,,1,8,78.5,,0,0,1,1,34,7.5,94.5,0,0,0,0,0,0,0,0,1,0,0,0,0
Panthera leo,mammalia,carnivora,felidae,0,1,18.5,195,184.5,1,1,1,1,114.5,4.5,730,1,0,1,0,0,0,0,0,0,1,0,1,1
Sciurus carolinensis,mammalia,rodentia,sciuridae,2,0,16,26.5,0.5,1,0,0,1,42,2.5,70,1,0,0,1,0,0,0,0,1,1,0,1,1
Pteromys momonga,mammalia,rodentia,sciuridae,,0,9.5,17,0.185,1,1,2,,28,2.5,42,0,0,1,0,0,0,0,0,1,0,0,1,0
Canis lupus occidentalis,mammalia,carnivora,canidae,,0,,63,51,1,1,1,0,63,5,,0,0,0,0,0,0,0,0,1,0,1,1,0
Herpestes edwardsii,mammalia,carnivora,herpestidae,1,0,9,40.5,0.5,0,0,0,1,60,3,180,0,0,1,0,0,0,0,0,0,1,0,1,1
Tamiasciurus douglasii,mammalia,rodentia,sciuridae,1,0,5.5,31.25,0.2265,0,0,2,0,31.5,5,165,0,0,0,0,0,0,0,0,1,0,0,1,0
Lynx rufus,mammalia,carnivora,felidae,1,0,18.5,86,11,0,1,1,1,65,3,240,0,0,0,0,0,0,0,0,1,1,0,1,0
Lama guanicoe,mammalia,artiodactyla,camelidae,2,0,22.5,,113,1,0,2,1,330,1,390,0,0,0,0,0,0,0,0,0,1,1,1,0
Macaca silenus,mammalia,primates,cercopithecidae,0,1,29,50.5,6.5,1,0,0,1,180,1,365,0,0,1,0,0,0,0,0,0,0,0,0,1
Acinonyx jubatus,mammalia,carnivora,felidae,0,1,15,131,46.5,1,0,1,1,90,3.5,547.5,1,0,1,0,0,0,0,0,0,1,0,1,1
Canis anthus,mammalia,carnivora,canidae,,0,8,,11,1,0,0,0,,,,1,1,1,1,1,1,1,1,0,1,0,1,1
Ailuropoda melanoleuca,mammalia,carnivora,ursidae,2,1,25,100,115,0,0,2,1,150,1.5,365,0,0,1,0,0,0,0,0,0,0,0,1,0
Saguinus imperator,mammalia,primates,callitrichidae,0,0,20,24.5,0.56,1,0,0,1,142.5,2,140,0,0,0,0,0,0,0,0,0,0,0,0,1
Macaca fascicularis,mammalia,primates,cercopithecidae,0,0,22.5,46.5,6,1,0,0,1,162,1,420,1,0,1,0,1,0,0,0,0,0,0,0,1
Phodopus sungorus,mammalia,rodentia,cricetidae,,0,2,8,0.032,0,1,2,,21,8.5,30,0,0,1,1,0,0,0,0,1,1,0,1,0
Crocuta crocuta,mammalia,carnivora,hyaenidae,0,0,30,130.5,52,1,1,0,1,120,2,450,1,0,0,0,0,0,0,0,0,1,0,1,1
Condylura cristata,mammalia,eulipotyphla,talpidae,1,0,3,17.5,0.055,1,0,1,0,45,4.5,30,0,0,0,0,0,0,0,0,1,0,0,1,0
Sciurus vulgaris,mammalia,rodentia,sciuridae,0,0,7.5,21,0.295,0,0,2,1,38,4,49,0,0,1,1,0,0,0,0,1,0,1,1,0
Trachypithecus obscurus,mammalia,primates,cercopithecidae,0,0,25,51.5,7,1,0,2,1,,1,365,0,0,1,0,0,0,0,0,0,0,0,0,1
Nasalis larvatus,mammalia,primates,cercopithecidae,0,1,18,64.5,14.5,1,0,2,1,166,1,365,0,0,1,0,0,0,0,0,0,0,0,0,1
Leopardus pardalis,mammalia,carnivora,felidae,0,0,13.5,84,13,0,1,1,1,85,2.5,365,0,0,0,0,0,0,0,0,0,1,0,1,1
